SNO,Product_Variant,VOLUME,Price,BRAND,COUNTRY,Coutry of origin,Main_Category,Sub_Category,Sub_Sub_Category,SIZE,TYPES,Description
10,ROYAL RANTHAMBORE_180ML,180,675,ROYAL RANTHAMBORE,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 180ML 375ML,BLENDED WHISKEY,"Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky., Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky."
11,ROYAL RANTHAMBORE_375ML,375,1350,ROYAL RANTHAMBORE,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 180ML 375ML,BLENDED WHISKEY,"Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky., Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky."
12,ANTIQUITY BLUE_180ML,180,380,ANTIQUITY BLUE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in."
13,ANTIQUITY BLUE_2000ML,2000,3540,ANTIQUITY BLUE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in."
14,ANTIQUITY BLUE_375ML,375,760,ANTIQUITY BLUE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in."
15,ANTIQUITY BLUE_90ML,90,200,ANTIQUITY BLUE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in."
16,ANTIQUITY BLUE_750ML,750,1520,ANTIQUITY BLUE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in."
17,BLENDERS PRIDE PREMIUM_1 Ltr,1 L,1770,BLENDERS PRIDE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Blenders Pride Whisky is one of the most
famous whisky brands in India. The product of blending some of the finest
Scotch malts imported from the Chivas Brothers, and blending them with the most
excellent Indian grain spirits, Blenders Pride deservedly dominates its segment
by an impressive majority., Nose: Leafy, with hints of peat and a fruity aroma., Palate: Full bodied, mellow, buttery with some amount of sweetness., Finish: Pleasant, medium finish."
18,BLENDERS PRIDE PREMIUM_180ML,180,335,BLENDERS PRIDE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Blenders Pride Whisky is one of the most
famous whisky brands in India. The product of blending some of the finest
Scotch malts imported from the Chivas Brothers, and blending them with the most
excellent Indian grain spirits, Blenders Pride deservedly dominates its segment
by an impressive majority., Nose: Leafy, with hints of peat and a fruity aroma., Palate: Full bodied, mellow, buttery with some amount of sweetness., Finish: Pleasant, medium finish."
19,BLENDERS PRIDE PREMIUM_2000ML,2000,3500,BLENDERS PRIDE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Blenders Pride Whisky is one of the most
famous whisky brands in India. The product of blending some of the finest
Scotch malts imported from the Chivas Brothers, and blending them with the most
excellent Indian grain spirits, Blenders Pride deservedly dominates its segment
by an impressive majority., Nose: Leafy, with hints of peat and a fruity aroma., Palate: Full bodied, mellow, buttery with some amount of sweetness., Finish: Pleasant, medium finish."
20,BLENDERS PRIDE PREMIUM_375ML,375,670,BLENDERS PRIDE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Blenders Pride Whisky is one of the most
famous whisky brands in India. The product of blending some of the finest
Scotch malts imported from the Chivas Brothers, and blending them with the most
excellent Indian grain spirits, Blenders Pride deservedly dominates its segment
by an impressive majority., Nose: Leafy, with hints of peat and a fruity aroma., Palate: Full bodied, mellow, buttery with some amount of sweetness., Finish: Pleasant, medium finish."
21,BLENDERS PRIDE PREMIUM_90ML,90,175,BLENDERS PRIDE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Blenders Pride Whisky is one of the most
famous whisky brands in India. The product of blending some of the finest
Scotch malts imported from the Chivas Brothers, and blending them with the most
excellent Indian grain spirits, Blenders Pride deservedly dominates its segment
by an impressive majority., Nose: Leafy, with hints of peat and a fruity aroma., Palate: Full bodied, mellow, buttery with some amount of sweetness., Finish: Pleasant, medium finish."
22,BLENDERS PRIDE PREMIUM_750ML,750,1350,BLENDERS PRIDE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 180ML 2000ML 375ML 750ML 90ML,BLENDED WHISKEY,"Blenders Pride Whisky is one of the most
famous whisky brands in India. The product of blending some of the finest
Scotch malts imported from the Chivas Brothers, and blending them with the most
excellent Indian grain spirits, Blenders Pride deservedly dominates its segment
by an impressive majority., Nose: Leafy, with hints of peat and a fruity aroma., Palate: Full bodied, mellow, buttery with some amount of sweetness., Finish: Pleasant, medium finish."
23,BUDWEISER MAGNUM DOUBLE BARREL WHISKEY_750ML,750,2800,BUDWEISER,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML,WHISKY,"Blenders
Pride Reserve Collection is the most premium whisky in India achieved by
carefully blending together some of the finest reserve whiskies. The
extraordinary Scotch malts employed in the Blenders Pride Reserve Collection
are uniquely matured through the Solera process in the most meticulously chosen
barrels. The Blenders Pride Reserve Collection has a unique embossing of the
brand name, and has a blue packaging instead of black packaging which further
differentiates it from the Blenders Pride Rare Premium Whisky., Aroma:
A full and fruity nose with delicate honey and vanilla notes, woody fruity
tropical fruit with a touch of peat. Oaky fragrance with medium intensity
encompassing an aromatic sweetness.<o:p></o:p>, Taste:
Full bodied, mellow, slightly sweet combined with well-balanced notes of
fruitiness &amp; soft smokiness.<o:p></o:p>, Mouthfeel:
Aromatic, creamy, sweet, round, complex."
24,FIREBALL CINNAMON WHISKY_750ML,750,1800,FIREBALL,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 60ML,BLENDED WHISKEY,"Blenders
Pride Reserve Collection is the most premium whisky in India achieved by
carefully blending together some of the finest reserve whiskies. The
extraordinary Scotch malts employed in the Blenders Pride Reserve Collection
are uniquely matured through the Solera process in the most meticulously chosen
barrels. The Blenders Pride Reserve Collection has a unique embossing of the
brand name, and has a blue packaging instead of black packaging which further
differentiates it from the Blenders Pride Rare Premium Whisky., Aroma:
A full and fruity nose with delicate honey and vanilla notes, woody fruity
tropical fruit with a touch of peat. Oaky fragrance with medium intensity
encompassing an aromatic sweetness.<o:p></o:p>, Taste:
Full bodied, mellow, slightly sweet combined with well-balanced notes of
fruitiness &amp; soft smokiness.<o:p></o:p>, Mouthfeel:
Aromatic, creamy, sweet, round, complex."
25,FIREBALL CINNAMON WHISKY_60ML,60,140,FIREBALL,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 60ML,BLENDED WHISKEY,"Blenders
Pride Reserve Collection is the most premium whisky in India achieved by
carefully blending together some of the finest reserve whiskies. The
extraordinary Scotch malts employed in the Blenders Pride Reserve Collection
are uniquely matured through the Solera process in the most meticulously chosen
barrels. The Blenders Pride Reserve Collection has a unique embossing of the
brand name, and has a blue packaging instead of black packaging which further
differentiates it from the Blenders Pride Rare Premium Whisky., Aroma:
A full and fruity nose with delicate honey and vanilla notes, woody fruity
tropical fruit with a touch of peat. Oaky fragrance with medium intensity
encompassing an aromatic sweetness.<o:p></o:p>, Taste:
Full bodied, mellow, slightly sweet combined with well-balanced notes of
fruitiness &amp; soft smokiness.<o:p></o:p>, Mouthfeel:
Aromatic, creamy, sweet, round, complex."
26,MAQINTOSH SILVER EDITION WHISKY_180ML,180,385,AMRUT DISTILLERIES,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"Soft and well-rounded with continued vanilla cream. Fresh pear,
banana and hints of cardamom and oak. Spicy with bits of oak intermingling with
the sweetness and brown sugar notes. After adding water, more winter spices
come through., The sweet citrus peels return, along with a little bit of meadowsweet
(honey). Whisky ends in notes of warming spice and bitter citrus. , <span class=""xs1""><span lang=""EN-GB"" style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Nose: <span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Creamy vanilla notes amidst a deep soft woody
character.<span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'><o:p></o:p>, <span class=""xs1""><span lang=""EN-GB"" style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Taste: <span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Sweet, fruity woody flavours, followed by a mild
smoky grain.<o:p></o:p>, <span lang=""EN-GB"" style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Finish: <span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Smooth and creamy with mild chocolate and a
touch of caramel."
27,MAQINTOSH SILVER EDITION WHISKY_375ML,375,775,AMRUT DISTILLERIES,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"The drink goes down smooth,
and as the branding will have you know, it's fiery. It's warming in the belly
and flavourful on the tongue. You'll get the flavour of a cinnamon candy with
all the spicy and sweet tones that you've always loved., Nose: A mixture of intense sweet cinnamon at the front,
with subtle sour cinnamon at the back.<o:p></o:p>, Palate: A whack of sweet cinnamon at first, with the spicy
burn slowly building, though not reaching a level i would describe as ‘burning
like hell’.<o:p></o:p>, Finish: The intensity slowly drops, leaving a refreshing,
almost menthol-like taste at the back.<o:p></o:p>, Comment: Incredibly cinnamon, this has no resemblance to
flavours associated with Canadian whisky. This is a drink for cinnamon lovers."
28,MAQINTOSH SILVER EDITION WHISKY_750ML,750,1550,AMRUT DISTILLERIES,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"The drink goes down smooth,
and as the branding will have you know, it's fiery. It's warming in the belly
and flavourful on the tongue. You'll get the flavour of a cinnamon candy with
all the spicy and sweet tones that you've always loved., Nose: A mixture of intense sweet cinnamon at the front,
with subtle sour cinnamon at the back.<o:p></o:p>, Palate: A whack of sweet cinnamon at first, with the spicy
burn slowly building, though not reaching a level i would describe as ‘burning
like hell’.<o:p></o:p>, Finish: The intensity slowly drops, leaving a refreshing,
almost menthol-like taste at the back.<o:p></o:p>, Comment: Incredibly cinnamon, this has no resemblance to
flavours associated with Canadian whisky. This is a drink for cinnamon lovers."
29,OFFICERS CHOICE BLUE_1 Ltr,1 L,750,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML 2000ML,,"This blended whisky from
India’s Amrut Distillery combines the highly-regarded Amrut single malt with
the distillery’s grain whiskies, and was produced to mark the distillery’s 25
years of whisky production. It carries no age statement, but given that Amrut
bottles its single malts at around 5 years, it’s safe to say that this is a
fairly young whisky., The nose is malty and nutty
with a good almond touch and notes of ginger, oak, allspice, and clove. The
taste is spicy with clove, cinnamon, cardamom, and ginger notes, along with
touches of brown sugar and honey. The finish lingers with slowly fading spices. "
30,OFFICERS CHOICE BLUE_750ML,750,600,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML 2000ML,,"This blended whisky from
India’s Amrut Distillery combines the highly-regarded Amrut single malt with
the distillery’s grain whiskies, and was produced to mark the distillery’s 25
years of whisky production. It carries no age statement, but given that Amrut
bottles its single malts at around 5 years, it’s safe to say that this is a
fairly young whisky., The nose is malty and nutty
with a good almond touch and notes of ginger, oak, allspice, and clove. The
taste is spicy with clove, cinnamon, cardamom, and ginger notes, along with
touches of brown sugar and honey. The finish lingers with slowly fading spices. "
31,OFFICERS CHOICE BLUE_375ML,375,300,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML 2000ML,,"This blended whisky from
India’s Amrut Distillery combines the highly-regarded Amrut single malt with
the distillery’s grain whiskies, and was produced to mark the distillery’s 25
years of whisky production. It carries no age statement, but given that Amrut
bottles its single malts at around 5 years, it’s safe to say that this is a
fairly young whisky., The nose is malty and nutty
with a good almond touch and notes of ginger, oak, allspice, and clove. The
taste is spicy with clove, cinnamon, cardamom, and ginger notes, along with
touches of brown sugar and honey. The finish lingers with slowly fading spices. "
32,OFFICERS CHOICE BLUE_180ML,180,150,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML 2000ML,,"Officer's choice blue delivers
a smooth palate experience, bringing together a fine blend of scotch malts and
select Indian grain spirits. Blue rare grain whisky is a premium variant of
officer's choice. It comes in an elegantly designed, well-shaped premium bottle., A truly exquisite whisky, it derives the
distinctive taste and character from the charred oak barrels it is matured in.
The strong toasted touch of charred oak, combined with the deep notes of fruity
and floral flavours create a complex harmony that makes it a rich and rare
blend."
33,OFFICERS CHOICE BLUE_90ML,90,80,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML 2000ML,,"Officer's choice blue delivers
a smooth palate experience, bringing together a fine blend of scotch malts and
select Indian grain spirits. Blue rare grain whisky is a premium variant of
officer's choice. It comes in an elegantly designed, well-shaped premium bottle., A truly exquisite whisky, it derives the
distinctive taste and character from the charred oak barrels it is matured in.
The strong toasted touch of charred oak, combined with the deep notes of fruity
and floral flavours create a complex harmony that makes it a rich and rare
blend."
34,OFFICERS CHOICE BLUE_2000ML,2000,1450,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML 2000ML,,"Officer's choice blue delivers
a smooth palate experience, bringing together a fine blend of scotch malts and
select Indian grain spirits. Blue rare grain whisky is a premium variant of
officer's choice. It comes in an elegantly designed, well-shaped premium bottle., A truly exquisite whisky, it derives the
distinctive taste and character from the charred oak barrels it is matured in.
The strong toasted touch of charred oak, combined with the deep notes of fruity
and floral flavours create a complex harmony that makes it a rich and rare
blend."
35,OFFICERS CHOICE PRESTIGE_1 Ltr,1 L,660,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML,BLENDED WHISKEY,"Officer's choice blue delivers
a smooth palate experience, bringing together a fine blend of scotch malts and
select Indian grain spirits. Blue rare grain whisky is a premium variant of
officer's choice. It comes in an elegantly designed, well-shaped premium bottle., A truly exquisite whisky, it derives the
distinctive taste and character from the charred oak barrels it is matured in.
The strong toasted touch of charred oak, combined with the deep notes of fruity
and floral flavours create a complex harmony that makes it a rich and rare
blend."
36,OFFICERS CHOICE PRESTIGE_750ML,750,520,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML,BLENDED WHISKEY,"Officer's choice blue delivers
a smooth palate experience, bringing together a fine blend of scotch malts and
select Indian grain spirits. Blue rare grain whisky is a premium variant of
officer's choice. It comes in an elegantly designed, well-shaped premium bottle., A truly exquisite whisky, it derives the
distinctive taste and character from the charred oak barrels it is matured in.
The strong toasted touch of charred oak, combined with the deep notes of fruity
and floral flavours create a complex harmony that makes it a rich and rare
blend."
37,OFFICERS CHOICE PRESTIGE_375ML,375,260,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML,BLENDED WHISKEY,"Officer's choice blue delivers
a smooth palate experience, bringing together a fine blend of scotch malts and
select Indian grain spirits. Blue rare grain whisky is a premium variant of
officer's choice. It comes in an elegantly designed, well-shaped premium bottle., A truly exquisite whisky, it derives the
distinctive taste and character from the charred oak barrels it is matured in.
The strong toasted touch of charred oak, combined with the deep notes of fruity
and floral flavours create a complex harmony that makes it a rich and rare
blend."
38,OFFICERS CHOICE PRESTIGE_180ML,180,135,OFFICERS CHOICE,INDIA,Indian,Spirits ,indian-whiskey,Blended,1 Ltr 750ML 375ML 180ML 90ML,BLENDED WHISKEY,"The finely balanced malt blend of Officers choice prestige whisky encourages
its patrons to follow their moral compass and awaken the officer hidden within
and ensures a delightful experience with each sip., Officer's choice prestige whisky is a perfect
blend of indian malt spirits and the best chosen indian neutral spirits. It is
a rare whisky with just the right mixture of smoothness and potency."
